"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
3.1340300574456146,4882.534731387384,0.5202477161467568,11.366057881009025,1.0986396726095138,0.4283,54.0,0.011959502984521012
4.224447101850014,4035.2666217361348,0.38186797882711215,9.412583018043131,1.0958745427061092,0.3974,59.0,0.004937055449142202
4.095979055085553,223.08468079245722,0.35284981419727396,8.677255114267435,1.097423226923759,0.4452,54.0,0.0017267376478444108
3.7254176004569786,2053.8772890983905,0.4594234398175929,10.39771458520191,1.0944848931402755,0.4472,60.0,0.0016649222590774141
2.7341081296294627,1620.144346991416,0.5168035680753568,11.303564592898532,1.0910527031497979,0.4314,47.0,0.0019359525644890526
3.386125666896484,2417.757315797443,0.6070278904818783,12.588165583997004,1.0884322137311069,0.4098,54.0,0.0012084017412090223
4.5732684501227485,267.65183415250567,0.33056193813699325,8.315668494216338,1.078177147842118,0.4382,50.0,0.002154346996535977
2.8085626228331737,2028.5854712168598,0.7383721408851576,13.807058657787962,1.0940952520335556,0.473,43.0,0.0014668026016118802
3.0387901624215585,3997.1232015663063,0.32972286956483293,8.187687716403635,1.089888454848466,0.4606,50.0,0.0054909903150528365
3.4252487639621765,647.6188371888944,0.38535768071351867,9.065318400570835,1.050349070398329,0.4792,51.0,0.00204105493172998
2.2906096274877514,673.6805496551794,1.4005706553352562,19.006904037519654,1.0952264930415643,0.4479,40.0,0.0019427349437098405
3.048777834726717,1624.853822740225,0.4532538696364513,10.287556874890143,1.0979760575470516,0.4507,38.0,0.0014513925018004867
3.6554989033080174,726.0086841009929,0.6235635415752427,12.585841185951676,1.0420339043657938,0.4543,46.0,0.0017749690757365888
4.064492943177525,179.65425325560136,0.3439375799559721,8.395974744991129,1.0618343428385901,0.47,54.0,0.0014037367129461807
4.029675362941562,1253.9891200310535,0.2478635985973879,6.506616345622387,1.0955014661993585,0.4794,37.0,0.0015234631440634934
3.713937794277411,2650.678414824418,0.41446538370491487,9.65551944850234,1.0880646341463436,0.4562,47.0,0.0021497640235106216
3.6012386255550624,222.3746572053874,0.4767945839464003,10.584661259587465,1.0631758288301705,0.4621,41.0,0.0018991498990178575
3.946763706864624,1990.33157042089,0.3999323232000314,9.40233860234421,1.073047598067685,0.4598,52.0,0.0014313707021146502
5.091119875178888,2377.9977342301017,0.2128241735423973,6.109936251810042,1.0937524137729424,0.4135,48.0,0.003710743661055135
2.9216849333887898,1146.2332646153327,0.34388188730527025,8.549239355672686,1.0676525402034949,0.4392,48.0,0.0014404086983630514
3.5824637668270447,943.245634585644,0.4324761212743348,10.04043179166659,1.0802610365820988,0.4357,59.0,0.0016671291109253993
4.111087819470772,152.5351348716913,0.34977559812442566,8.642304664380045,1.0538288187594056,0.4414,61.0,0.0013273925682208594
3.908865819105152,169.6569150361936,0.29247705048616135,7.47161624451453,1.0607186500193813,0.4646,48.0,0.0013257213505895205
2.613119110139666,451.18319815832206,0.9448990725414493,15.730161750925316,1.0642545460215869,0.4823,45.0,0.0015113674195483208
3.3616010680134623,2527.6788699697995,0.48719190009244256,10.754817402068715,1.089571015852479,0.4583,52.0,0.0021385842124507625
3.662157903498737,1907.253471694708,0.4597058548450553,10.394734927798764,1.0936664846421578,0.4487,49.0,0.0018299588391415425
3.6602187399364214,860.9815471172574,0.3598829420607941,8.626983811957754,1.0518298938648467,0.4799,47.0,0.001593242856824672
3.069578527265052,229.42108088904342,0.4444528532165699,10.212201251091416,1.0600193769839639,0.4385,59.0,0.0013762400831135737
5.1051513806676425,462.7465424862106,0.24152100071481958,6.514748199708199,1.0962882092804216,0.4525,51.0,0.0031881359780249713
3.0896275682823466,457.09176403879246,0.43668977227520017,10.140528986674019,1.0924089184908983,0.4286,65.0,0.0016179467007644503
3.720427695116805,371.4308751163403,0.28835051162853115,7.5044521023254696,1.0522430700368541,0.4426,50.0,0.001219387112056428
3.1819026798008214,1057.818060520375,0.5551372686363368,11.862633037595797,1.0895523313569764,0.4231,53.0,0.0015051671209827615
